Nombre;URL Licensing;Base Country;Run by women
Netvarec;https://type.netvarec.ooo/info/;Czechia;No
29LT;https://www.29lt.com/info/#licensing-questions;Spain;No
205TF;https://www.205.tf/eula;France;Yes
A is for;https://aisforfonts.com/help;France;Yes
a.Foundry;https://a-foundry.com/license/;Denmark;No
Sudtipos;https://www.sudtipos.com/eula;Argentina;No
Nodo Typefoundry;https://nodotypefoundry.com/faqs;Argentina, Mexico ;No
Foster Type;https://www.fostertype.com/licence;Australia;No
Sergio Ramírez Llamas;https://www.sergio.soy/licensing;Australia;No
Family Type;https://familytype.co/#info;Australia;No
Modern Type;https://www.modern-type.com/information/;Australia;No
Nguyen Gobber;https://nguyengobber.com/pdf/eula_nguyen-gobber.pdf;Austria;No
Hungarumlaut;https://hungarumlaut.com/eula;Austria;No
Willerstorfer Font Foundry;willerstorfer.com/licensing.html;Austria;No
Typejockeys;https://typejockeys.com/licensing;Austria;Yes
Type By;https://www.typeby.com/licenses;Belgium;Yes
Studio Type;https://studiotype.be/licenses;Belgium;No
Plau;https://www.plau.design/licenca-plau;Brazil;No
Harbor Type;https://www.harbortype.com/about/eula/;Brazil;No
Naipe Foundry;https://store.naipe.xyz/licenses;Brazil;No
Fabio Haag Type;https://fabiohaagtype.com/en/font-licensing/;Brazil;No
Fontfabric;https://www.fontfabric.com/fontfabric-licensing;Bulgaria;Yes
Typedepot;https://typedepot.com/help/license-agreements;Bulgaria;Yes
Nouvelle Noire;https://nouvellenoire.ch/information/;Switzerland;No
Binnenland;https://www.binnenland.ch/license-topics;Switzerland;No
Extraset;https://extraset.ch/licenses/;Switzerland;No
Fatype;https://www.fatype.com/eula;Switzerland, Estonia;No
Grilli Type;https://www.grillitype.com/information#licensing-overview;Switzerland;No
Lineto;https://lineto.com/information/legal/legal/;Switzerland;No
lo-ol type;https://www.lo-ol.design/license;Switzerland;Yes
CoType;https://cotypefoundry.com/;United Kingdom;No
A2-TYPE;https://www.a2-type.co.uk/terms-conditions;United Kingdom;No
Alanna Munro;https://alannamunro.com/licensing;Canada;Yes
Manic Type;https://www.manictype.com/licensing;Canada;No
Pangram Pangram;https://pangrampangram.com/pages/faq#font-licensing;Canada;No
Quintana-Font;https://quintana-font.cl/license;Chile;No
W Type Foundry;https://wtypefoundry.com/licenses;Chile;Yes
Hot Type;https://hottype.co/info;Croatia;No
Heavyweight Type ;https://heavyweight-type.com/information/default;Czechia;No
Rosetta;https://rosettatype.com/licence;Czechia;No
Suitecase Type;https://www.suitcasetype.com/help/licensing-and-usage-of-fonts;Czechia;No
Alfa Type;http://www.alfatypefonts.com/#licensing;Italy;No
AllCaps;https://www.allcapstype.com/licencing#overview;Czechia;No
Storm Type;https://www.stormtype.com/licenses;Czechia;No
Typesenses;https://typesenses.com/licensing/;Argentina ;Yes
Superior Type;https://www.superiortype.com/help/font-licensing;Czechia;No
Typetogether;https://www.type-together.com/faqs;Czechia, Argentina;Yes
Supercontinente;;Costa Rica;Yes
Apex Type;https://www.apextypefoundry.com/informations;France;No
Approximate Type;https://cdn.sanity.io/files/v96woi1w/production/d774f0e2330023e2bfa120f6af534b4858144ce3.pdf;Denmark;No
Playtype;https://playtype.com/general-information/licensing-and-pricing/;Denmark;No
Helsinki Type Studio;https://helsinkitypestudio.com/eula;Finland;No
Typolar;https://typolar.com/licenses/index.php;Finland;No
Arillatype;https://arillatype.studio/licensing;Spain;Yes
