Measuring unit
Use Case
Use Case
Use Case
Number of Employees
Workstations
Number of Users
Number of Years
Use Case
Workstations
Use Case
Use Case
Use Case
Use Case
Use Case
Use Case
Use Case
Use Case
Use Case
Number of Employees
Use Case
Use Case
Use Case
Number of Employees
Use Case
Number of Users
Use Case
Use Case
Use Case
Use Case
Workstations
Use Case
Use Case
Use Case
Use Case
Number of Users
Number of Employees
Number of Employees
Use Case
Use Case
Use Case
Number of Years
Use Case
Use Case
Use Case
Use Case
Number of Years
Use Case
Use Case
Use Case
Use Case
Use Case
Workstations
Use Case
Use Case
Use Case
Use Case
Use Case
Use Case
Number of Employees
Use Case
Use Case
Use Case
Use Case
Use Case
Number of Employees
Use Case
