Name;Measuring unit
Netvarec;Number of Users
Original Type;Unique Visitors/Month
Nouvelle Noir;Unique Visitors/Month
29LT;Pagewiews/Month
205TF;Pagewiews/Month
A is for;Pagewiews/Month
a.Foundry;Unique Visitors/Month
Typesenses;Pagewiews/Month
Supercontinente;Number of Employees
Mota Italic;Pagewiews/Month, Number of Domains
Kilotype;Pagewiews/Month
lo-ol type;Number of Users
Giulia B;Number of Employees
nice to type;Number of Employees
Optimo;Number of Domains
Lift Type;Workstations, Pagewiews/Month
Swiss Typefaces;Workstations
Klim Type Foundry;Unique Visitors/Month, Pagewiews/Month
Typolar;Unique Visitors/Month, Number of Domains
Reset;Unique Visitors/Month
Quintana-Font;Unique Visitors/Month
Zakznak;Unique Visitors/Month
The Designers Foundry;Unique Visitors/Month
Pyte Foundry;Unique Visitors/Month
Hot Type;Number of Employees
A2-TYPE;Unique Visitors/Month
Alanna Munro;Number of Employees
Alfa Type;Unique Visitors/Month
AllCaps;Number of Employees
Apex Type;Workstations
Approximate Type;Number of Employees
Arillatype;Number of Employees
Atypical;Number of Users
Binnenland;Unique Visitors/Month
Blackletra;Number of Employees
Blancoletters;Pagewiews/Month
Blast Foundry;Pagewiews/Month
Blaze Type;Number of Employees
Bloom Type Foundry;Unique Visitors/Month
Bold Monday;Unique Visitors/Month
Briefcase Type Foundry;Pagewiews/Month, Number of Domains
Bureau Brut;Workstations
CakeType;Number of Domains, Unique Visitors/Month
Calderón;Unique Visitors/Month
Camelot;Unique Visitors/Month
Canada Type;Pagewiews/Month
Capitalics Warsaw;Pagewiews/Month
CarnokyType;Pagewiews/Month
CAST Foundry;Pagewiews/Month
Céline Hurka;Number of Employees
Charlotte Rohde;Pagewiews/Month
CocijoType;Pagewiews/Month
Commercial Type;Number of Domains, Unique Visitors/Month
Contrast Foundry;Pagewiews/Month
Cooper and Brasses;Number of Employees
CoType;Pagewiews/Month
Counter Forms;Number of Employees
Darden Studio;Pagewiews/Month
David Einwaller;Number of Employees
David Jonathan Ross;Unique Visitors/Month
Detail Type Foundry;Pagewiews/Month
Dinamo Typefaces;Number of Employees
DizajnDesign;Pagewiews/Month
Domicile Foundry;Unique Visitors/Month
DSType;Number of Domains
East of Rome;Unique Visitors/Month
Eko Bimantara;Pagewiews/Month
Element Type;Number of Employees
Ellen Luff;Pagewiews/Month
Emigre;Pagewiews/Month
Emtype;Pagewiews/Month
En Passant Foundry;Number of Domains, Number of Employees
Extraset;Unique Visitors/Month
F37;Pagewiews/Month
Fabio Haag Type;Number of Users
Family Type;Unique Visitors/Month
Fatype;Unique Visitors/Month
Feliciano Type;Unique Visitors/Month
Formula Type;Number of Employees
Foster Type;Unique Visitors/Month
FSD;Number of Employees
Fuerte Type;Number of Users
Heavyweight Type ;Unique Visitors/Month
Helsinki Type Studio;Unique Visitors/Month
KH Type;Number of Employees
KOBU Foundry;Number of Domains
Laïc Type;Number of Domains
Letterjuice;Unique Visitors/Month
Lettermin;Number of Domains, Pagewiews/Month
Manic Type;Number of Employees
Mass-Driver;Number of Employees
Naipe Foundry;Unique Visitors/Month
Newlyn;Number of Employees
Nodo Typefoundry;Unique Visitors/Month
Pizza Typefaces;Number of Employees
Plau;Number of Employees
Power Type;Pagewiews/Month
Production Type;Number of Employees
Setup Type;Unique Visitors/Month
Sudtipos;Pagewiews/Month
Suitecase Type ;Number of Domains, Pagewiews/Month
Superior Type;Pagewiews/Month
Threedotstype;Pagewiews/Month
Tiny Type Co.;Unique Visitors/Month
Tipografies;Pagewiews/Month
TipoType;Pagewiews/Month
Tokotype;Pagewiews/Month
Tour de Force;Pagewiews/Month
Type By;Pagewiews/Month
Type Salon;Number of Employees
Type-Ø-Tones;Pagewiews/Month
Typejockeys;Pagewiews/Month
Typeland;Number of Employees
TypeMates;Pagewiews/Month
Typerepublic;Pagewiews/Month
TypeTogether;Pagewiews/Month
TypeType;Pagewiews/Month
Typofonderie;Pagewiews/Month, Number of Domains
Underware;Pagewiews/Month
Universal Thirst;Pagewiews/Month
W Type Foundry;Unique Visitors/Month
Grilli Type;Unique Visitors/Month
Studio Type;Pagewiews/Month, Number of Domains
RadLuka;Pagewiews/Month, Number of Domains
Tegamitype;Pagewiews/Month, Number of Domains
Typotheque;Pagewiews/Month
Storm Type;Pagewiews/Month
Sergio Ramírez Llamas;Pagewiews/Month
Schick-Toikka;Pagewiews/Month
Schrifteria;Pagewiews/Month
Sharp Type;Pagewiews/Month
Signal;Pagewiews/Month
Lineto;Pagewiews/Month
R-Typography;Pagewiews/Month, Number of Domains
ReType Foundry;Pagewiews/Month
Revolver;Pagewiews/Month
Rosetta;Pagewiews/Month
Pangram Pangram;Pagewiews/Month
Parachute;Pagewiews/Month
Playtype;Pagewiews/Month
Process Type Foundry;Pagewiews/Month
Just Another Foundry;Pagewiews/Month
Letters from Sweden;Pagewiews/Month
Ludwig Type;Pagewiews/Month
Luzi Type;Pagewiews/Month
Monokrom;Pagewiews/Month
NM type;Pagewiews/Month
Nova Type Foundry;Pagewiews/Month
Good Type Foundry;Pagewiews/Month
Gradient;Pagewiews/Month
Harbor Type;Pagewiews/Month
Huy! Fonts;Pagewiews/Month
Indian Type Foundry;Pagewiews/Month
Jeremy Tankard;Pagewiews/Month
Fontfabric;Pagewiews/Month
Foundry5;Pagewiews/Month
Frere-Jones;Pagewiews/Month
Mint Type;Pagewiews/Month
Nymark Type;Pagewiews/Month
Typeverything;Pagewiews/Month
Ograda Type;Pagewiews/Month
Nguyen Gobber;Pagewiews/Month
Hungarumlaut;Pagewiews/Month
Jung-Lee Type;Pagewiews/Month
Willerstorfer Font Foundry;Number of Domains, Unique Visitors/Month
XYZ Type;Number of Employees
Zeta Fonts;Pagewiews/Month
Modern Type;Number of Employees
Typedepot;Pagewiews/Month
